2020	05월 28일	0.50
2020	03월 17일	0.75
2019	10월 16일	1.25
2019	07월 18일	1.50
2018	11월 30일	1.75
2017	11월 30일	1.50
2016	06월 09일	1.25
2015	06월 11일	1.50
2015	03월 12일	1.75
2014	10월 15일	2.00
2014	08월 14일	2.25
2013	05월 09일	2.50
2012	10월 11일	2.75
2012	07월 12일	3.00
2011	06월 10일	3.25
2011	03월 10일	3.00
2011	01월 13일	2.75
2010	11월 16일	2.50
2010	07월 09일	2.25
2009	02월 12일	2.00
2009	01월 09일	2.50
2008	12월 11일	3.00
2008	11월 07일	4.00
2008	10월 27일	4.25
2008	10월 09일	5.00
2008	08월 07일	5.25
2007	08월 09일	5.00
2007	07월 12일	4.75
2006	08월 10일	4.50
2006	06월 08일	4.25
2006	02월 09일	4.00
2005	12월 08일	3.75
2005	10월 11일	3.50
2004	11월 11일	3.25
2004	08월 12일	3.50
2003	07월 10일	3.75
2003	05월 13일	4.00
2002	05월 07일	4.25
2001	09월 19일	4.00
2001	08월 09일	4.50
2001	07월 05일	4.75
2001	02월 08일	5.00
2000	10월 05일	5.25
2000	02월 10일	5.00
1999	05월 06일	4.75
